State: 0, SolnCost: 38.00, # Moves: 38, # Nodes Gen: 2,156,821, Time: 6.35
State: 1, SolnCost: 55.00, # Moves: 55, # Nodes Gen: 3,538,505, Time: 9.51
State: 2, SolnCost: 49.00, # Moves: 49, # Nodes Gen: 3,036,821, Time: 8.17
State: 3, SolnCost: 61.00, # Moves: 61, # Nodes Gen: 3,996,821, Time: 11.47
State: 4, SolnCost: 52.00, # Moves: 52, # Nodes Gen: 3,298,505, Time: 8.94
State: 5, SolnCost: 50.00, # Moves: 50, # Nodes Gen: 3,138,505, Time: 8.59
State: 6, SolnCost: 66.00, # Moves: 66, # Nodes Gen: 4,364,181, Time: 12.79
State: 7, SolnCost: 57.00, # Moves: 57, # Nodes Gen: 3,644,181, Time: 10.27
State: 8, SolnCost: 53.00, # Moves: 53, # Nodes Gen: 3,324,181, Time: 8.87
State: 9, SolnCost: 56.00, # Moves: 56, # Nodes Gen: 3,564,181, Time: 9.90
State: 10, SolnCost: 57.00, # Moves: 57, # Nodes Gen: 3,644,181, Time: 10.15
State: 11, SolnCost: 55.00, # Moves: 55, # Nodes Gen: 3,484,181, Time: 9.23
State: 12, SolnCost: 47.00, # Moves: 47, # Nodes Gen: 2,898,505, Time: 8.04
State: 13, SolnCost: 48.00, # Moves: 48, # Nodes Gen: 2,956,821, Time: 8.26
State: 14, SolnCost: 55.00, # Moves: 55, # Nodes Gen: 3,516,821, Time: 9.67
State: 15, SolnCost: 44.00, # Moves: 44, # Nodes Gen: 2,658,505, Time: 7.12
State: 16, SolnCost: 56.00, # Moves: 56, # Nodes Gen: 3,564,181, Time: 9.95
State: 17, SolnCost: 51.00, # Moves: 51, # Nodes Gen: 3,164,181, Time: 8.52
State: 18, SolnCost: 42.00, # Moves: 42, # Nodes Gen: 2,476,821, Time: 6.70
State: 19, SolnCost: 50.00, # Moves: 50, # Nodes Gen: 3,116,821, Time: 8.59
State: 20, SolnCost: 49.00, # Moves: 49, # Nodes Gen: 3,036,821, Time: 8.11
State: 21, SolnCost: 48.00, # Moves: 48, # Nodes Gen: 2,956,821, Time: 8.04
State: 22, SolnCost: 54.00, # Moves: 54, # Nodes Gen: 3,436,821, Time: 9.48
State: 23, SolnCost: 50.00, # Moves: 50, # Nodes Gen: 3,116,821, Time: 8.36
State: 24, SolnCost: 54.00, # Moves: 54, # Nodes Gen: 3,458,505, Time: 9.52
State: 25, SolnCost: 59.00, # Moves: 59, # Nodes Gen: 3,858,505, Time: 10.28
State: 26, SolnCost: 57.00, # Moves: 57, # Nodes Gen: 3,644,181, Time: 9.82
State: 27, SolnCost: 51.00, # Moves: 51, # Nodes Gen: 3,164,181, Time: 8.65
State: 28, SolnCost: 53.00, # Moves: 53, # Nodes Gen: 3,324,181, Time: 8.72
State: 29, SolnCost: 53.00, # Moves: 53, # Nodes Gen: 3,378,505, Time: 9.08
State: 30, SolnCost: 65.00, # Moves: 65, # Nodes Gen: 4,284,181, Time: 11.53
State: 31, SolnCost: 56.00, # Moves: 56, # Nodes Gen: 3,596,821, Time: 9.83
State: 32, SolnCost: 51.00, # Moves: 51, # Nodes Gen: 3,196,821, Time: 8.62
State: 33, SolnCost: 56.00, # Moves: 56, # Nodes Gen: 3,564,181, Time: 9.86
State: 34, SolnCost: 48.00, # Moves: 48, # Nodes Gen: 2,956,821, Time: 8.15
State: 35, SolnCost: 56.00, # Moves: 56, # Nodes Gen: 3,618,505, Time: 10.05
State: 36, SolnCost: 51.00, # Moves: 51, # Nodes Gen: 3,196,821, Time: 8.68
State: 37, SolnCost: 40.00, # Moves: 40, # Nodes Gen: 2,316,821, Time: 6.39
